"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0I370","2020-05-13 00:00:00","671.000","0.000","0.000","20.400","0.960","938.600","","1.500","-99.000","-99.000","-99.000","26.200","","20.400",""
"C0S750","2020-05-13 00:00:00","2280.000","0.000","0.200","12.100","1.000","775.500","","9.500","-99.000","-99.000","-99.000","20.200","","12.000",""
"C0R650","2020-05-13 00:00:00","29.000","0.000","0.200","26.500","0.990","1009.500","","18.000","-99.000","-99.000","-99.000","31.800","","25.600",""
"C0E740","2020-05-13 00:00:00","27.000","246.000","0.400","22.400","0.940","1009.800","","10.500","-99.000","-99.000","-99.000","26.400","","22.400",""
"C0AI20","2020-05-13 00:00:00","25.000","103.000","3.500","22.700","0.760","1011.200","","4.500","-99.000","-99.000","-99.000","23.300","","21.100",""
"C0E550","2020-05-13 00:00:00","84.000","0.000","0.100","21.100","1.000","1002.000","","1.500","-99.000","-99.000","-99.000","24.300","","21.000",""
"C0X060","2020-05-13 00:00:00","19.000","29.000","0.400","23.300","0.920","1011.300","","4.500","-99.000","-99.000","-99.000","29.700","","23.300",""
"C0R510","2020-05-13 00:00:00","31.000","6.000","0.700","26.800","0.820","1007.400","","8.000","-99.000","-99.000","-99.000","32.400","","26.300",""
"C0AC60","2020-05-13 00:00:00","55.000","89.000","1.800","22.600","0.830","1006.900","","32.500","-99.000","-99.000","-99.000","24.500","","22.000",""
"C0UA70","2020-05-13 00:00:00","547.000","115.000","1.000","18.400","0.990","953.900","","7.500","-99.000","-99.000","-99.000","21.600","","17.400",""
"C0G740","2020-05-13 00:00:00","24.000","354.000","1.000","24.600","0.880","1009.100","","0.000","-99.000","-99.000","-99.000","26.900","","24.400",""
"C0F9N0","2020-05-13 00:00:00","75.000","172.000","0.800","25.800","0.820","1002.800","","0.000","-99.000","-99.000","-99.000","29.900","","25.700",""
"C0F9T0","2020-05-13 00:00:00","111.000","316.000","1.000","25.100","0.840","998.000","","0.000","-99.000","-99.000","-99.000","28.500","","24.800",""
"C0S710","2020-05-13 00:00:00","382.000","29.000","3.200","20.700","0.960","971.900","","3.500","-99.000","-99.000","-99.000","29.900","","20.500",""
"C0M680","2020-05-13 00:00:00","37.000","0.000","0.000","24.300","0.940","1009.100","","0.000","-99.000","-99.000","-99.000","30.300","","24.200",""
"C0X220","2020-05-13 00:00:00","26.000","16.000","1.200","24.400","0.850","1008.700","","4.000","-99.000","-99.000","-99.000","28.600","","24.300",""
"C0R560","2020-05-13 00:00:00","22.000","346.000","1.100","26.200","0.830","1009.700","","44.000","-99.000","-99.000","-99.000","31.200","","25.100",""
"C0F9P0","2020-05-13 00:00:00","26.000","38.000","2.500","23.600","0.990","1009.300","","0.000","-99.000","-99.000","-99.000","26.900","","23.500",""
"C0O970","2020-05-13 00:00:00","71.000","84.000","0.800","22.900","0.940","1003.800","","12.000","-99.000","-99.000","-99.000","31.800","","22.900",""
"C0F0B0","2020-05-13 00:00:00","311.000","69.000","1.600","21.900","0.980","976.600","","0.000","-99.000","-99.000","-99.000","27.900","","21.900",""
"C0R700","2020-05-13 00:00:00","19.000","64.000","5.500","27.400","0.700","1009.500","","0.000","11.200","84.000","","29.700","","27.000",""
